Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),"On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",What is your favorite coffee drink?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
Zd694B,<18 years old,3,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,Pourover,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Bright,Medium,Light,Full caffeine,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,1,1,1,1,1,,,,,,,,Other (please specify),Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat
QAeYZY,>65 years old,3,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cortado,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Somewhat strong,Blonde,Full caffeine,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Coffee C,Coffee D,Coffee D,,,1,1,1,1,1,,,,,,,,,,,,,,
QA5JYA,25-34 years old,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,Regular drip coffee,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Sweet,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,1,1,1,1,1,,,,,,,,Female,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
jyDqva,18-24 years old,2,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Iced coffee,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,Nutty,Somewhat strong,Nordic,Full caffeine,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,Coffee D,Coffee A,,,1,1,1,1,1,,,,,,,,,,,,,,
ylqbBg,45-54 years old,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Light,Full caffeine,8.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,3.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,1,0,0,0,0,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation
oAVNdO,>65 years old,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Regular drip coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Dark,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,4.0,3.0,4.0,Coffee C,Coffee D,Coffee C,,,1,1,1,1,1,,,,,,,,,,,,,,
YZzBdN,25-34 years old,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Floral,Medium,Light,Full caffeine,10.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,1,1,0,0,0,Yes,Yes,$2-$4,More than $20,Yes,$50-$100,Yes,Male,Master's degree,Asian/Pacific Islander,,Unemployed,,Independent
VZ17Z6,35-44 years old,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Iced coffee,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Fruity,Very strong,Light,Full caffeine,6.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,1,0,0,0,0,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
RzBeZj,45-54 years old,More than 4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,Pourover,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,1,1,1,0,0,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation
WApbkQ,35-44 years old,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,Cappuccino,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Floral,Somewhat strong,Blonde,Full caffeine,4.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,1,0,1,0,0,Yes,Yes,$6-$8,$4-$6,Yes,"More than $1,000",Yes,Male,Less than high school,Black/African American,,Unemployed,2,Independent
